creator,follower_count
carlos_eduardo_espina,11400000
lopeztips,11000000
ileanavelazquezg,5300000
applesauceandadhd,4000000
crownmecutie,1900000
official.nilla,1500000
kripapateljoshi,1500000
ayannasabrina,1500000
myriamestrella8,1300000
mrs.isabelabarbosa,1200000
lifesbetterwithkat,1100000
vrogers17,896000
amyjackson9213,813000
ruby2smooth,734000
glamaw22,719000
jennaheats,648000
iamsk8bordb,641000
ashmartodam,562000
dj.foof,544000
dianadelaherran,493000
certifiedcitygirl69,492000
_keeyah.xo,466000
influencedqueens,423000
annarennsworld,405000
lianet1006,401000
makeupartistatlaw,374000
itsmekelsc,352000
thatonedunkingirll,352000
lushoctober,347000
lushoctober,346800
zzzuulll,343000
jessikabaileyg,335000
its.ohsokayy,316000
mostlymindfulmama,308000
kay_caputo,305000
crystalsehy,304000
misstattedaf,300000
michaelascott20,297000
iamsarahtonin,282000
chelseylujan,275000
badbarbiezazaa,273000
shariyawise,269000
brehyah,264000
iamsharihelene,252000
justanothernurse1,250000
justanothernurse1,250000
sophia.yasmine22,249000
michellesays,243000
knichole.95,242000
nphiynhi,232000
kristidmytrenko,210000
tina_loves_jesus,202000
lupeariass,201000
lifesrad,198000
nikkiyef,194000
emilymakesit101,192000
kellylkruger,191000
charleighmoriss,187000
jan3rzz,184000
k.ricaan,184000
nicolemarso,184000
allure_fashion,183000
angiexroman,183000
mommynus,178000
sam_joness_,175000
the_geriatricmillennial,171000
kaitilyndecker,165000
lifeaskristinab,165000
shopsunshinesisters,159000
sofloridagirl,157000
tay_kaedence,156000
nina.r.reed,154000
alliecheeto,151000
kelseylynnnnn,150000
yaybay_,148000
cicihaskill,142000
katrinagmoore,140000
anitamironbeauty,137000
oneredmike,137000
lupitv336,132000
yvonniedior,131000
whitneyharrison19,131000
carebearsbites,127000
diamondsnatch23,124000
riannagail,124000
evas.shops,118000
briannapetruzzi,116000
kylie_walker,114000
brookieford,112000
jennysepx,109000
alexandralharaldsson,105000
kylieoguma,103000
pnw.bethany,102000
ms_bentivegas,101000
eatwithbecks,99000
figgyfinds,98000
workingmama40,96900
leighton742,96000
daniella_britt,96000
imabbysigua,93000
chairsh_xoxo,87000
giniglow,82000
jodieping,82000
kimberly_pugh,81000
bombshelllashco,80000
cynthiaalovexo,76000
natalyamakes,76000
michaela_motherhood,75000
aliyaeatss,75000
bestiebriitt,74000
kaylawaylamua,69000
susanluckhardt,64000
mindymama4,61000
mamarachelandfam,61000
lexirosenstein,60000
gissellealamode,60000
jasminemonique_22,60000
_thehamiltons,60000
bcartercreative,58000
aroselens,56000
funfamilydealz,55000
blondevixen59,55000
xonajsaaa_,55000
rickhutchugc,54000
thebenderfam24,54000
kyraoriana,53000
yannnique,52000
sarahcramos,51000
peytonxblack,51000
southern_wellness,50500
tiiffancy,50000
angiecampanile,49000
thejaynoelle,49000
tooladvisor,46000
maggienorzow,46000
vonshae_vonshae,46000
itsselahmichelle,44000
brooklynreviewsxoxo,42000
mirandacorneliusbeauty,42000
twinsmur,42000
emacenterprises,41000
as_told_by_lisa,41000
lexallynn,40000
romebaby,40000
dynamitefinds,40000
melissa_mariche,40000
madelainemenendez,39000
vhshortie,39000
cutlikeagem,38000
kyndhalugc,37000
mamahalesfinds,37000
jjbonit93,37000
michellerene,37000
britney_henderson_,36000
i.am.montel,36000
kinsylbell,35000
anvaniiy,35000
zoeyylagoni,35000
hangingwithalo,34000
robinsfavorites,32000
emilymayfinds,30000
whatlololikes,30000
ilovebubbies,30000
michelledemoda,28000
briannametzger1,28000
lymonline,27000
majorhealthdeals,27000
sincerelyzina,26000
joliolioliver,25000
pinger029,24000
ababyandabulldog,24000
tallgirltay8,24000
becomingbethanyofficial,24000
withwendywin,23000
sylviavanhoevenbeauty,22800
suprafinds,22000
gibson_made,22000
igobydessy_,22000
lesettey,21000
kileekat,21000
alec.lol,20000
xdallas_333,19200
cassieaverytts,19000
dreasdailydeals,19000
sbinthecityatl,19000
cradeja,19000
shop.with.selena,18500
meghouse24,18000
leeleesfavfinds,18000
ellyevercreations,18000
roxtalksshow,18000
shelbyvignal11,18000
chantlycaree,18000
blossom.bonds,17400
thefreckledbrunette,17000
tanner.selkirk,17000
maryfortune,16000
ttshopwithmaddie,16000
amber_dealsandsteals,15000
sydneyyallisonn,14500
cda.finds,14000
kate_xo.5,13000
onlineincomewithmegan,13000
hereceats,13000
miller_taralynn,13000
colleen_fusco,13000
_mama_knows_best,12300
dudedealz,12000
angelareviewsit,12000
amyrawles591,11000
ashley.courvelle,10000
lorenlovesit,10000
faithfully_xo,9900
girlsnpearls,9900
hannahbentley,9700
sellersavvy23,9700
audreysashopaholic,9600
relatablemomish,9000
itskristincamacho,8300
alexandrasfinds1,8200
peach.sleep,8200
georgiagiirl,8100
sarahyoga785,7700
nickystrendingiftsgalore,7600
thatloalizzy,6600
divinetruth111,6400
kennyshopsalot,6300
cristinacollabs,6200
itsmecarly.b,6000
brittainyshaw,5500
bytiffanymarie,5100
bethsahm,4900
itslydiahook,4800
mom.nurse.entrepreneur,4300
smalltownerin,3700
aljade__,3500
yourdealsbestie,3400
