creator,follower_count,products_sold
katrinagmoore,140000,732
dj.foof,544000,686
britney_henderson_,36000,632
jessikabaileyg,335000,572
gissellealamode,60000,555
influencedqueens,423000,530
yvonniedior,131000,521
leeleesfavfinds,18000,488
lushoctober,347000,456
lushoctober,346800,456
nphiynhi,232000,454
lushoctober,347000,452
lushoctober,346800,452
giniglow,82000,416
allure_fashion,183000,407
workingmama40,96900,399
tiiffancy,50000,387
lupeariass,201000,378
whitneyharrison19,131000,376
kripapateljoshi,1500000,364
riannagail,124000,356
kellylkruger,191000,346
madelainemenendez,39000,334
meghouse24,18000,333
emilymayfinds,30000,332
lifesbetterwithkat,1100000,323
kristidmytrenko,210000,305
michellesays,243000,304
melissa_mariche,40000,303
anitamironbeauty,137000,293
mirandacorneliusbeauty,42000,292
whatlololikes,30000,281
sam_joness_,175000,277
yannnique,52000,265
amyjackson9213,813000,264
brooklynreviewsxoxo,42000,261
angiexroman,183000,259
anvaniiy,35000,259
kay_caputo,305000,257
aroselens,56000,254
robinsfavorites,32000,251
lymonline,27000,249
kaitilyndecker,165000,248
diamondsnatch23,124000,245
thefreckledbrunette,17000,239
sofloridagirl,157000,236
lexallynn,40000,235
blossom.bonds,17400,231
ababyandabulldog,24000,230
shop.with.selena,18500,229
mommynus,178000,228
ashmartodam,562000,221
maggienorzow,46000,220
itsmekelsc,352000,219
sydneyyallisonn,14500,219
kylieoguma,103000,216
crystalsehy,304000,213
michelledemoda,28000,211
jjbonit93,37000,211
iamsarahtonin,282000,205
lianet1006,401000,203
ayannasabrina,1500000,203
chantlycaree,18000,203
makeupartistatlaw,374000,202
bombshelllashco,80000,201
bcartercreative,58000,196
angelareviewsit,12000,195
figgyfinds,98000,194
lesettey,21000,193
myriamestrella8,1300000,192
justanothernurse1,250000,191
justanothernurse1,250000,191
justanothernurse1,250000,191
justanothernurse1,250000,191
hangingwithalo,34000,188
its.ohsokayy,316000,188
iamsk8bordb,641000,186
thatonedunkingirll,352000,186
peytonxblack,51000,183
shelbyvignal11,18000,182
mamahalesfinds,37000,178
michaelascott20,297000,175
romebaby,40000,173
michellerene,37000,169
lifesrad,198000,168
jodieping,82000,166
alliecheeto,151000,163
lifeaskristinab,165000,162
ilovebubbies,30000,162
shopsunshinesisters,159000,159
rickhutchugc,54000,154
badbarbiezazaa,273000,152
susanluckhardt,64000,151
bestiebriitt,74000,150
tooladvisor,46000,150
kimberly_pugh,81000,148
leighton742,96000,147
_mama_knows_best,12300,146
daniella_britt,96000,145
cicihaskill,142000,145
colleen_fusco,13000,139
sarahcramos,51000,138
chairsh_xoxo,87000,137
amber_dealsandsteals,15000,134
nikkiyef,194000,134
joliolioliver,25000,132
cutlikeagem,38000,130
thebenderfam24,54000,128
vrogers17,896000,127
iamsharihelene,252000,126
as_told_by_lisa,41000,126
suprafinds,22000,124
official.nilla,1500000,124
briannametzger1,28000,117
pnw.bethany,102000,117
oneredmike,137000,113
tina_loves_jesus,202000,111
kylie_walker,114000,111
lupitv336,132000,111
xdallas_333,19200,109
mindymama4,61000,109
applesauceandadhd,4000000,109
tallgirltay8,24000,108
evas.shops,118000,108
lopeztips,11000000,106
_thehamiltons,60000,106
kelseylynnnnn,150000,102
brehyah,264000,101
