creator,products_sold,post_rate_percent,commission_rate_percent,follower_gender,follower_age
lexirosenstein,0,31%,0%,female,25-34
influencedqueens,530,10%,15%,female,25-34
allure_fashion,407,20%,15%,female,25-34
dj.foof,686,83%,12%,female,18-24
bestiebriitt,150,78%,12%,male,25-34
britney_henderson_,632,78%,12%,female,35-44
mom.nurse.entrepreneur,16,26%,12%,female,35-44
itsmekelsc,219,22%,15%,female,35-44
kellylkruger,346,76%,15%,female,35-44
cassieaverytts,44,71%,12%,female,35-44
jessikabaileyg,572,85%,13%,female,25-34
susanluckhardt,151,83%,12%,female,35-44
yannnique,265,23%,15%,female,35-44
kaitilyndecker,248,50%,15%,female,35-44
giniglow,416,82%,15%,female,35-44
maryfortune,54,95%,10%,female,35-44
funfamilydealz,9,16%,11%,female,35-44
katrinagmoore,732,41%,12%,female,45-54
lymonline,249,85%,13%,female,35-44
amber_dealsandsteals,134,92%,15%,female,35-44
cutlikeagem,130,74%,10%,female,35-44
dudedealz,75,61%,15%,female,35-44
myriamestrella8,192,7%,15%,female,35-44
iamsharihelene,126,75%,15%,female,35-44
jodieping,166,89%,15%,female,35-44
_mama_knows_best,146,87%,15%,female,35-44
emilymayfinds,332,92%,15%,female,35-44
meghouse24,333,94%,13%,female,35-44
lupeariass,378,31%,12%,female,25-34
pinger029,39,78%,12%,female,45-54
sarahcramos,138,69%,15%,female,25-34
suprafinds,124,91%,10%,male,25-34
michelledemoda,211,92%,15%,female,35-44
leeleesfavfinds,488,86%,15%,female,35-44
lopeztips,106,50%,10%,female,35-44
gibson_made,79,59%,13%,male,55+
yvonniedior,521,37%,10%,female,35-44
brooklynreviewsxoxo,261,79%,15%,female,35-44
ellyevercreations,84,80%,12%,female,35-44
angiecampanile,71,88%,19%,female,35-44
tooladvisor,150,91%,10%,male,55+
sydneyyallisonn,219,80%,15%,female,25-34
carlos_eduardo_espina,26,4%,15%,female,25-34
blossom.bonds,231,87%,15%,female,35-44
maggienorzow,220,77%,12%,female,35-44
georgiagiirl,87,95%,13%,female,45-54
aroselens,254,35%,15%,female,35-44
anitamironbeauty,293,86%,10%,female,35-44
whitneyharrison19,376,49%,12%,female,35-44
shop.with.selena,229,55%,12%,female,35-44
brittainyshaw,115,27%,15%,female,35-44
xdallas_333,109,,12%,female,25-34
workingmama40,399,79%,10%,female,35-44
lushoctober,456,93%,15%,female,35-44
sylviavanhoevenbeauty,79,71%,15%,female,25-34
sam_joness_,277,72%,15%,female,35-44
southern_wellness,19,44%,20%,female,45-54
roxtalksshow,90,72%,10%,female,35-44
emacenterprises,32,11%,15%,male,35-44
angiexroman,259,66%,15%,female,25-34
figgyfinds,194,44%,12%,female,35-44
gissellealamode,555,79%,12%,female,35-44
mostlymindfulmama,54,87%,15%,female,35-44
lexallynn,235,93%,15%,female,25-34
kate_xo.5,49,62%,15%,female,35-44
ababyandabulldog,230,89%,12%,female,35-44
bombshelllashco,201,74%,11%,female,35-44
whatlololikes,281,75%,11%,female,35-44
tiiffancy,387,28%,10%,female,25-34
diamondsnatch23,245,63%,12%,female,35-44
leighton742,147,70%,13%,female,35-44
joliolioliver,132,95%,15%,female,35-44
lesettey,193,30%,14%,female,35-44
romebaby,173,85%,12%,female,25-34
relatablemomish,87,92%,12%,female,35-44
dynamitefinds,72,61%,10%,female,35-44
nphiynhi,454,95%,15%,female,25-34
official.nilla,124,47%,15%,female,25-34
michellesays,304,36%,16%,female,35-44
shelbyvignal11,182,81%,15%,female,35-44
nina.r.reed,77,20%,10%,female,35-44
daniella_britt,145,55%,15%,female,45-54
mirandacorneliusbeauty,292,94%,15%,female,35-44
hangingwithalo,188,55%,15%,female,35-44
robinsfavorites,251,63%,17%,female,55+
iamsk8bordb,186,93%,15%,female,25-34
blondevixen59,35,28%,20%,male,45-54
oneredmike,113,82%,15%,male,35-44
amyjackson9213,264,79%,10%,female,25-34
sincerelyzina,36,93%,12%,female,25-34
jasminemonique_22,74,85%,10%,female,35-44
nickystrendingiftsgalore,139,81%,12%,female,35-44
thefreckledbrunette,239,95%,11%,female,35-44
cda.finds,72,75%,12%,female,35-44
alexandrasfinds1,141,38%,15%,female,25-34
kennyshopsalot,221,91%,14%,female,35-44
onlineincomewithmegan,53,12%,25%,female,45-54
bethsahm,161,91%,10%,female,35-44
rickhutchugc,154,89%,12%,female,35-44
jennaheats,,,10%,,
kileekat,42,73%,16%,female,35-44
mindymama4,109,95%,12%,female,35-44
shopsunshinesisters,159,25%,0%,female,35-44
tina_loves_jesus,111,94%,10%,female,35-44
michaela_motherhood,92,79%,10%,female,25-34
sarahyoga785,63,76%,15%,female,35-44
bcartercreative,196,85%,12%,female,35-44
ms_bentivegas,6,30%,15%,female,25-34
sofloridagirl,236,94%,12%,female,35-44
justanothernurse1,191,91%,15%,female,35-44
madelainemenendez,334,85%,12%,female,25-34
kristidmytrenko,305,91%,15%,female,25-34
ashmartodam,221,58%,15%,female,45-54
kinsylbell,78,94%,20%,female,35-44
ileanavelazquezg,22,37%,15%,female,25-34
alliecheeto,163,90%,10%,male,18-24
lianet1006,203,86%,15%,female,25-34
brehyah,101,30%,15%,female,25-34
vrogers17,127,37%,12%,female,35-44
alexandralharaldsson,11,45%,15%,female,25-34
crystalsehy,213,90%,12%,male,35-44
kripapateljoshi,364,38%,15%,female,35-44
samxskin,,,,,
ayannasabrina,203,18%,15%,female,18-24
kyndhalugc,4,16%,9%,female,35-44
its.ohsokayy,188,70%,12%,female,35-44
charleighmoriss,16,24%,11%,female,18-24
crownmecutie,49,13%,5%,female,25-34
iamsarahtonin,205,93%,15%,female,35-44
bytiffanymarie,143,85%,10%,female,25-34
dianadelaherran,22,29%,13%,female,25-34
briannametzger1,117,93%,15%,female,25-34
mommynus,228,94%,10%,female,35-44
lifesrad,168,62%,10%,female,25-34
itsselahmichelle,76,86%,12%,female,25-34
thebenderfam24,128,94%,10%,male,35-44
as_told_by_lisa,126,90%,12%,female,35-44
itskristincamacho,218,97%,15%,female,35-44
divinetruth111,63,87%,15%,female,25-34
anvaniiy,259,75%,12%,female,25-34
angelareviewsit,195,93%,19%,female,35-44
yourdealsbestie,106,93%,12%,female,35-44
twinsmur,67,84%,12%,female,25-34
peach.sleep,71,81%,10%,female,35-44
vhshortie,36,32%,14%,female,25-34
kimberly_pugh,148,93%,12%,female,35-44
hannahbentley,118,90%,10%,female,25-34
briannapetruzzi,19,9%,13%,female,18-24
misstattedaf,71,77%,15%,female,18-24
mrs.isabelabarbosa,18,36%,11%,female,18-24
eatwithbecks,76,81%,15%,female,25-34
sophia.yasmine22,16,21%,13%,female,25-34
shariyawise,12,59%,15%,female,35-44
the_geriatricmillennial,53,62%,20%,female,35-44
thatonedunkingirll,186,,15%,female,25-34
mamahalesfinds,178,87%,15%,female,35-44
dreasdailydeals,68,91%,20%,female,35-44
lifeaskristinab,162,76%,15%,female,35-44
melissa_mariche,303,94%,15%,female,18-24
ttshopwithmaddie,51,62%,15%,female,35-44
tallgirltay8,108,92%,15%,female,35-44
lushoctober,452,93%,15%,female,35-44
hereceats,72,50%,15%,female,18-24
emilymakesit101,90,91%,15%,female,18-24
aliyaeatss,8,53%,15%,female,18-24
aljade__,22,89%,10%,female,35-44
